timestamp_s,hiker_id,delivered,drop_reason,true_x_wu,true_y_wu,true_alt_m,gps_lat,gps_lon,gps_alt_m,distance_m,rx_dbm,snr_db,margin_db,obstacle_loss_db,terrain_shadow_db,diffraction_db,terrain_scatter_db,fading_db,fading_type,weather_loss_db,temp_noise_db,spreading_factor,data_rate_bps,time_on_air_ms,duty_cycle_pct,weather,temperature_c,humidity_pct,route,hop_count
1780229948.894,hiker,True,,-96.35,-83.8,942.1,-6.9178471,107.5801741,941.2,820.1,-87.5,29.5,49.5,0.0,22.0,0.0,0.0,7.4,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,0.0,clear,22.0,60.0,hiker -> node_basecamp_gate -> base_station,2
1780229964.151,hiker,True,,-87.95,-73.68,931.8,-6.9146491,107.5827958,930.7,820.1,-76.5,40.5,60.5,0.0,22.0,0.0,0.0,-3.6,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,0.28,clear,22.0,60.0,hiker -> node_basecamp_gate -> base_station,2
1780229979.409,hiker,True,,-79.23,-64.38,931.8,-6.9117307,107.5855693,929.5,1587.0,-81.1,35.9,55.9,8.8,0.0,0.0,1.6,6.9,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,0.57,clear,22.0,60.0,hiker -> node_valley_watch -> base_station,2
1780229994.667,hiker,True,,-69.54,-55.47,931.8,-6.9088868,107.5886198,929.2,1230.5,-78.9,38.1,58.1,10.5,0.0,0.0,1.2,5.6,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,0.85,clear,22.0,60.0,hiker -> node_valley_watch -> base_station,2
1780230009.924,hiker,True,,-60.0,-47.0,931.8,-6.9062481,107.5916157,926.8,978.4,-90.0,27.0,47.0,13.8,0.0,0.0,1.0,15.7,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,1.13,clear,22.0,60.0,hiker -> node_valley_watch -> base_station,2
1780230025.182,hiker,True,,-50.69,-37.69,1094.6,-6.9032961,107.5946435,1091.4,820.1,-86.0,31.0,51.0,0.0,22.0,0.0,0.0,6.0,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,1.41,clear,22.0,60.0,hiker -> node_basecamp_gate -> base_station,2
1780230040.440,hiker,True,,-42.48,-27.97,1402.9,-6.9002736,107.5971975,1400.4,274.2,-83.0,34.0,54.0,0.4,22.0,0.0,0.0,12.0,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,1.7,clear,22.0,60.0,hiker -> node_forest_pass -> base_station,2
1780230055.701,hiker,True,,-34.36,-17.7,1622.6,-6.8970176,107.5998106,1620.2,5085.2,-101.0,16.0,36.0,13.2,0.0,0.0,5.1,8.8,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,1.98,clear,22.0,60.0,hiker -> node_ridge_mid -> base_station,2
1780230070.955,hiker,False,collision,-22.82,-12.27,1575.5,-6.8953308,107.6034227,1575.5,,,,,,,,,,,,,9,1757.8,152.6,2.26,clear,22.0,60.0,,0
1780230086.212,hiker,True,,-10.48,-7.75,1527.2,-6.8939082,107.6073387,1526.5,5085.2,-86.6,30.4,50.4,13.0,0.0,0.0,5.1,-5.4,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,2.54,clear,22.0,60.0,hiker -> node_ridge_mid -> base_station,2
1780230101.470,hiker,True,,1.73,-4.08,1575.7,-6.8927779,107.6112133,1573.5,5085.2,-93.0,24.0,44.0,13.6,0.0,0.0,5.1,0.4,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,2.83,clear,22.0,60.0,hiker -> node_ridge_mid -> base_station,2
1780230116.727,hiker,True,,12.81,3.03,1747.0,-6.8905188,107.6146702,1747.5,5085.2,-102.7,14.3,34.3,13.3,0.0,0.0,5.1,10.4,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,3.11,clear,22.0,60.0,hiker -> node_ridge_mid -> base_station,2
1780230131.985,hiker,True,,23.19,10.33,1910.4,-6.8882107,107.6179918,1915.8,3543.2,-88.3,28.7,48.7,13.7,0.0,0.0,3.5,0.3,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,3.39,clear,22.0,60.0,hiker -> node_forest_pass -> base_station,2
1780230147.242,hiker,True,,31.98,20.15,2134.3,-6.8851151,107.6207769,2128.2,3543.2,-98.0,19.0,39.0,13.8,0.0,0.0,3.5,9.9,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,3.67,clear,22.0,60.0,hiker -> node_forest_pass -> base_station,2
1780230162.501,hiker,True,,40.42,29.7,2377.6,-6.8821244,107.6234331,2378.6,3543.2,-97.7,19.3,39.3,13.3,0.0,0.0,3.5,10.1,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,3.96,clear,22.0,60.0,hiker -> node_forest_pass -> base_station,2
1780230177.757,hiker,False,collision,48.85,39.82,2574.4,-6.8789577,107.6261231,2573.4,,,,,,,,,,,,,9,1757.8,152.6,4.24,clear,22.0,60.0,,0
1780230193.015,hiker,False,collision,57.33,49.33,2743.7,-6.8759533,107.6288229,2743.5,,,,,,,,,,,,,9,1757.8,152.6,4.52,clear,22.0,60.0,,0
1780230208.273,hiker,True,,66.65,58.65,2954.7,-6.8729659,107.6317269,2956.1,8551.6,-133.7,-16.7,3.3,16.0,6.4,33.9,0.0,-0.9,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,4.8,clear,22.0,60.0,hiker -> node_north_saddle -> base_station,2
1780230223.530,hiker,False,per_model,75.9,67.41,2828.8,-6.8701533,107.6347153,2823.9,,,,,,,,,,,,,9,1757.8,152.6,5.09,clear,22.0,60.0,,0
1780230238.788,hiker,True,,85.7,76.23,2576.6,-6.8675234,107.6377798,2574.0,4310.1,-149.1,-32.1,-12.1,10.7,22.0,27.9,0.0,16.1,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,5.37,clear,22.0,60.0,hiker -> node_summit_view -> node_ridge_mid -> base_station,3
1780230254.045,hiker,True,,86.83,77.25,2542.2,-6.8671718,107.6381553,2535.0,4310.1,-132.6,-15.6,4.4,10.7,22.0,27.9,0.0,-0.4,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,5.65,clear,22.0,60.0,hiker -> node_summit_view -> node_ridge_mid -> base_station,3
1780230269.304,hiker,True,,77.04,68.43,2805.7,-6.8700568,107.6351001,2803.4,8551.6,-132.9,-15.9,4.1,16.0,6.4,33.9,0.0,-1.8,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,5.93,clear,22.0,60.0,hiker -> node_north_saddle -> base_station,2
1780230284.561,hiker,False,per_model,67.73,59.73,2936.3,-6.8726797,107.6321403,2933.0,,,,,,,,,,,,,9,1757.8,152.6,6.22,clear,22.0,60.0,,0
1780230299.819,hiker,True,,58.41,50.41,2794.0,-6.8756649,107.6291507,2791.6,7651.9,-132.7,-15.7,4.3,13.3,3.2,32.5,0.0,6.2,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,6.5,clear,22.0,60.0,hiker -> node_crater_edge -> base_station,2
1780230315.076,hiker,True,,49.83,41.0,2568.9,-6.8785776,107.6264,2567.4,7651.9,-133.3,-16.3,3.7,13.3,3.2,32.5,0.0,6.9,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,6.78,clear,22.0,60.0,hiker -> node_crater_edge -> base_station,2
1780230330.334,hiker,True,,41.4,30.88,2422.2,-6.8817825,107.6237616,2421.6,3470.8,-85.8,31.2,51.2,9.0,0.0,0.0,3.5,2.8,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,7.06,clear,22.0,60.0,hiker -> node_forest_pass -> base_station,2
1780230345.591,hiker,True,,32.99,21.29,2161.0,-6.884848,107.621152,2158.9,3543.2,-86.7,30.3,50.3,13.6,0.0,0.0,3.5,-1.2,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,7.35,clear,22.0,60.0,hiker -> node_forest_pass -> base_station,2
1780230360.853,hiker,True,,24.21,11.47,1936.3,-6.887831,107.618293,1930.3,3543.2,-82.9,34.1,54.1,14.2,0.0,0.0,3.5,-5.6,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,7.63,clear,22.0,60.0,hiker -> node_forest_pass -> base_station,2
1780230376.106,hiker,False,collision,13.73,3.63,1761.7,-6.8903736,107.6149899,1758.0,,,,,,,,,,,,,9,1757.8,152.6,7.91,clear,22.0,60.0,,0
1780230391.364,hiker,True,,3.04,-3.32,1592.1,-6.8925212,107.6116292,1589.8,5085.2,-95.3,21.7,41.7,13.4,0.0,0.0,5.1,2.9,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,8.19,clear,22.0,60.0,hiker -> node_ridge_mid -> base_station,2
1780230406.621,hiker,True,,-9.43,-7.43,1527.5,-6.8938159,107.6076806,1524.8,5085.2,-98.3,18.7,38.7,13.5,0.0,0.0,5.1,5.9,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,8.48,clear,22.0,60.0,hiker -> node_ridge_mid -> base_station,2
1780230421.879,hiker,True,,-21.44,-11.62,1567.1,-6.8951264,107.6038364,1564.7,5085.2,-94.1,22.9,42.9,13.6,0.0,0.0,5.1,1.5,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,8.76,clear,22.0,60.0,hiker -> node_ridge_mid -> base_station,2
1780230437.137,hiker,True,,-33.36,-17.23,1622.7,-6.8968916,107.600129,1621.0,5085.2,-91.2,25.8,45.8,13.1,0.0,0.0,5.1,-0.8,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,9.04,clear,22.0,60.0,hiker -> node_ridge_mid -> base_station,2
1780230452.394,hiker,True,,-41.56,-26.75,1439.6,-6.8999005,107.5975148,1437.2,3543.2,-87.9,29.1,49.1,13.4,0.0,0.0,3.5,0.3,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,9.32,clear,22.0,60.0,hiker -> node_forest_pass -> base_station,2
1780230467.652,hiker,True,,-49.91,-36.91,1117.9,-6.9031354,107.5948491,1117.2,820.1,-100.6,16.4,36.4,0.0,22.0,0.0,0.0,20.6,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,9.61,clear,22.0,60.0,hiker -> node_basecamp_gate -> base_station,2
1780230482.911,hiker,True,,-58.93,-45.93,931.8,-6.9058963,107.5920359,928.2,955.2,-91.1,25.9,45.9,10.2,9.6,0.0,0.0,12.0,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,9.89,clear,22.0,60.0,hiker -> node_valley_watch -> base_station,2
1780230498.167,hiker,True,,-68.71,-54.74,931.8,-6.908706,107.5889218,928.6,2946.9,-75.3,41.7,61.7,4.7,0.0,0.0,2.9,-1.5,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,10.17,clear,22.0,60.0,hiker -> node_valley_watch -> base_station,2
1780230513.425,hiker,True,,-78.18,-63.26,931.8,-6.9113797,107.5858752,930.6,2946.9,-74.9,42.1,62.1,4.7,0.0,0.0,2.9,-1.9,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,10.45,clear,22.0,60.0,hiker -> node_valley_watch -> base_station,2
1780230528.682,hiker,True,,-87.19,-72.87,931.8,-6.9143467,107.5830318,929.3,820.1,-81.6,35.4,55.4,0.0,22.0,0.0,0.0,1.5,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,10.74,clear,22.0,60.0,hiker -> node_basecamp_gate -> base_station,2
1780230543.941,hiker,True,,-95.43,-82.58,941.3,-6.9174352,107.5804558,936.9,820.1,-77.4,39.6,59.6,0.0,22.0,0.0,0.0,-2.6,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,11.02,clear,22.0,60.0,hiker -> node_basecamp_gate -> base_station,2
1780230559.198,hiker,True,,-103.34,-93.12,931.8,-6.9207166,107.5779376,933.3,2817.5,-83.9,33.1,53.1,5.1,0.0,0.0,2.8,7.3,NLOS/Rayleigh,0.0,0.0,9,1757.8,152.6,11.3,clear,22.0,60.0,hiker -> node_valley_watch -> base_station,2
