timestamp_s,hiker_id,trail,true_x_wu,true_y_wu,terrain_z_wu,altitude_m,gps_lat,gps_lon,gps_error_m,dop,drift_ms,hw_delay_ms,weather
1780229941.631,hiker,ridge_route,-99.92,-88.56,0.62,937.9,-6.9193146,107.5790245,1.4,1.00,+0.5,69,clear
1780229942.101,hiker,ridge_route,-99.66,-88.22,0.64,938.4,-6.9192246,107.5790835,1.7,1.00,+0.6,74,clear
1780229942.602,hiker,ridge_route,-99.41,-87.88,0.65,938.8,-6.9190617,107.5791878,5.5,1.00,+0.6,139,clear
1780229943.102,hiker,ridge_route,-99.15,-87.54,0.67,939.1,-6.9189904,107.5792117,5.3,1.00,+0.6,80,clear
1780229943.601,hiker,ridge_route,-98.90,-87.20,0.68,939.4,-6.9188957,107.5793741,3.9,1.00,+0.7,135,clear
1780229944.101,hiker,ridge_route,-98.64,-86.86,0.69,939.7,-6.9187619,107.5794240,3.1,1.00,+0.7,133,clear
1780229944.601,hiker,ridge_route,-98.39,-86.52,0.70,939.9,-6.9186931,107.5795130,1.8,1.00,+0.7,71,clear
1780229945.101,hiker,ridge_route,-98.13,-86.18,0.70,940.1,-6.9185542,107.5795947,2.8,1.00,+0.8,201,clear
1780229945.602,hiker,ridge_route,-97.88,-85.84,0.71,940.3,-6.9184820,107.5796677,1.6,1.00,+0.8,148,clear
1780229946.101,hiker,ridge_route,-97.62,-85.50,0.71,940.4,-6.9183659,107.5797524,1.2,1.00,+0.8,115,clear
1780229946.601,hiker,ridge_route,-97.37,-85.16,0.71,940.5,-6.9182471,107.5798446,2.5,1.00,+0.9,126,clear
1780229947.102,hiker,ridge_route,-97.11,-84.82,0.71,940.5,-6.9181533,107.5799239,2.3,1.00,+0.9,181,clear
1780229947.606,hiker,ridge_route,-96.86,-84.48,0.71,940.5,-6.9180301,107.5800063,2.7,1.00,+0.9,146,clear
1780229948.101,hiker,ridge_route,-96.60,-84.14,0.71,940.4,-6.9179052,107.5800627,3.2,1.00,+1.0,141,clear
1780229948.601,hiker,ridge_route,-96.35,-83.80,0.71,940.3,-6.9178471,107.5801741,3.8,1.00,+1.0,173,clear
1780229949.101,hiker,ridge_route,-96.09,-83.46,0.70,940.1,-6.9177468,107.5802430,3.4,1.00,+1.0,165,clear
1780229949.601,hiker,ridge_route,-95.84,-83.12,0.69,939.9,-6.9176319,107.5802998,2.2,1.00,+1.0,199,clear
1780229950.101,hiker,ridge_route,-95.58,-82.78,0.69,939.7,-6.9175305,107.5803924,2.7,1.00,+1.1,168,clear
1780229950.601,hiker,ridge_route,-95.33,-82.44,0.68,939.4,-6.9173913,107.5804933,2.8,1.00,+1.1,124,clear
1780229951.101,hiker,ridge_route,-95.07,-82.10,0.66,939.1,-6.9172942,107.5805477,0.3,1.00,+1.1,100,clear
1780229951.601,hiker,ridge_route,-94.82,-81.76,0.65,938.7,-6.9171957,107.5806251,1.3,1.00,+1.2,113,clear
1780229952.101,hiker,ridge_route,-94.56,-81.42,0.64,938.2,-6.9170780,107.5806975,1.6,1.00,+1.2,176,clear
1780229952.601,hiker,ridge_route,-94.31,-81.08,0.62,937.8,-6.9169532,107.5807859,2.2,1.00,+1.2,96,clear
1780229953.101,hiker,ridge_route,-94.05,-80.74,0.60,937.2,-6.9168669,107.5808876,1.6,1.00,+1.3,157,clear
1780229953.601,hiker,ridge_route,-93.80,-80.40,0.58,936.7,-6.9167485,107.5809542,1.1,1.00,+1.3,68,clear
1780229954.101,hiker,ridge_route,-93.54,-80.06,0.56,936.0,-6.9166254,107.5810377,2.9,1.00,+1.3,179,clear
1780229954.601,hiker,ridge_route,-93.29,-79.72,0.54,935.4,-6.9165487,107.5810954,2.3,1.00,+1.4,197,clear
1780229955.101,hiker,ridge_route,-93.03,-79.38,0.51,934.7,-6.9164206,107.5811933,1.9,1.00,+1.4,101,clear
1780229955.601,hiker,ridge_route,-92.78,-79.04,0.49,933.9,-6.9163459,107.5812572,2.8,1.00,+1.4,132,clear
1780229956.101,hiker,ridge_route,-92.52,-78.70,0.46,933.1,-6.9162014,107.5813250,4.4,1.00,+1.5,128,clear
1780229956.601,hiker,ridge_route,-92.27,-78.36,0.43,932.3,-6.9161189,107.5814164,2.4,1.00,+1.5,199,clear
1780229957.101,hiker,ridge_route,-92.01,-78.02,0.40,931.4,-6.9160078,107.5815334,1.6,1.00,+1.5,183,clear
1780229957.601,hiker,ridge_route,-91.73,-77.71,0.36,930.3,-6.9159038,107.5816315,2.5,1.00,+1.6,92,clear
1780229958.101,hiker,ridge_route,-91.44,-77.40,0.35,930.0,-6.9158265,107.5817217,2.5,1.00,+1.6,182,clear
1780229958.601,hiker,ridge_route,-91.14,-77.09,0.35,930.0,-6.9157503,107.5818130,4.2,1.00,+1.6,158,clear
1780229959.101,hiker,ridge_route,-90.85,-76.78,0.35,930.0,-6.9156063,107.5819046,2.5,1.00,+1.7,168,clear
1780229959.601,hiker,ridge_route,-90.56,-76.47,0.35,930.0,-6.9155405,107.5820073,3.7,1.00,+1.7,162,clear
1780229960.101,hiker,ridge_route,-90.27,-76.16,0.35,930.0,-6.9154215,107.5821033,3.6,1.00,+1.7,164,clear
1780229960.601,hiker,ridge_route,-89.98,-75.85,0.35,930.0,-6.9153037,107.5821525,2.9,1.00,+1.8,67,clear
1780229961.101,hiker,ridge_route,-89.69,-75.54,0.35,930.0,-6.9152524,107.5822821,3.9,1.00,+1.8,91,clear
1780229961.601,hiker,ridge_route,-89.40,-75.23,0.35,930.0,-6.9151378,107.5823602,1.6,1.00,+1.8,181,clear
1780229962.101,hiker,ridge_route,-89.11,-74.92,0.35,930.0,-6.9150369,107.5824251,1.6,1.00,+1.9,106,clear
1780229962.602,hiker,ridge_route,-88.82,-74.61,0.35,930.0,-6.9149481,107.5825457,2.0,1.00,+1.9,134,clear
1780229963.101,hiker,ridge_route,-88.53,-74.30,0.35,930.0,-6.9148523,107.5826526,3.5,1.00,+1.9,79,clear
1780229963.601,hiker,ridge_route,-88.24,-73.99,0.35,930.0,-6.9147416,107.5827298,1.6,1.00,+2.0,179,clear
1780229964.101,hiker,ridge_route,-87.95,-73.68,0.35,930.0,-6.9146491,107.5827958,1.4,1.00,+2.0,205,clear
1780229964.601,hiker,ridge_route,-87.66,-73.37,0.35,930.0,-6.9145374,107.5829168,2.2,1.00,+2.0,151,clear
1780229965.101,hiker,ridge_route,-87.37,-73.06,0.35,930.0,-6.9144199,107.5829773,3.7,1.00,+2.1,148,clear
1780229965.603,hiker,ridge_route,-87.07,-72.75,0.35,930.0,-6.9143502,107.5830812,0.3,1.00,+2.1,141,clear
1780229966.104,hiker,ridge_route,-86.78,-72.44,0.35,930.0,-6.9142350,107.5831552,3.2,1.00,+2.1,134,clear
1780229966.601,hiker,ridge_route,-86.49,-72.13,0.35,930.0,-6.9141228,107.5832844,4.3,1.00,+2.2,79,clear
1780229967.101,hiker,ridge_route,-86.20,-71.82,0.35,930.0,-6.9140915,107.5833884,4.7,1.00,+2.2,192,clear
1780229967.602,hiker,ridge_route,-85.91,-71.51,0.35,930.0,-6.9139786,107.5834557,1.9,1.00,+2.2,170,clear
1780229968.102,hiker,ridge_route,-85.62,-71.20,0.35,930.0,-6.9138795,107.5835161,3.5,1.00,+2.3,66,clear
1780229968.601,hiker,ridge_route,-85.33,-70.89,0.35,930.0,-6.9137442,107.5836084,4.0,1.00,+2.3,115,clear
1780229969.102,hiker,ridge_route,-85.04,-70.58,0.35,930.0,-6.9136840,107.5837318,1.6,1.00,+2.3,142,clear
1780229969.602,hiker,ridge_route,-84.75,-70.27,0.35,930.0,-6.9135944,107.5838158,2.5,1.00,+2.4,120,clear
1780229970.101,hiker,ridge_route,-84.46,-69.96,0.35,930.0,-6.9134642,107.5839094,1.2,1.00,+2.4,84,clear
1780229970.601,hiker,ridge_route,-84.17,-69.65,0.35,930.0,-6.9133585,107.5840083,2.2,1.00,+2.4,163,clear
1780229971.102,hiker,ridge_route,-83.88,-69.34,0.35,930.0,-6.9133216,107.5840997,4.7,1.00,+2.5,130,clear
1780229971.601,hiker,ridge_route,-83.59,-69.03,0.35,930.0,-6.9131760,107.5841939,0.9,1.00,+2.5,131,clear
1780229972.101,hiker,ridge_route,-83.30,-68.72,0.35,930.0,-6.9131115,107.5842824,3.0,1.00,+2.5,141,clear
1780229972.603,hiker,ridge_route,-83.01,-68.41,0.35,930.0,-6.9129600,107.5843701,3.1,1.00,+2.6,98,clear
1780229973.102,hiker,ridge_route,-82.71,-68.10,0.35,930.0,-6.9129046,107.5844620,1.6,1.00,+2.6,101,clear
1780229973.602,hiker,ridge_route,-82.42,-67.79,0.35,930.0,-6.9127743,107.5845446,2.4,1.00,+2.6,142,clear
1780229974.102,hiker,ridge_route,-82.13,-67.48,0.35,930.0,-6.9126808,107.5846202,3.5,1.00,+2.7,108,clear
1780229974.603,hiker,ridge_route,-81.84,-67.17,0.35,930.0,-6.9125720,107.5847551,3.3,1.00,+2.7,136,clear
1780229975.102,hiker,ridge_route,-81.55,-66.86,0.35,930.0,-6.9125298,107.5848535,4.0,1.00,+2.7,156,clear
1780229975.601,hiker,ridge_route,-81.26,-66.55,0.35,930.0,-6.9124207,107.5848886,4.5,1.00,+2.8,163,clear
1780229976.102,hiker,ridge_route,-80.97,-66.24,0.35,930.0,-6.9123450,107.5850070,4.6,1.00,+2.8,179,clear
1780229976.601,hiker,ridge_route,-80.68,-65.93,0.35,930.0,-6.9121951,107.5850993,1.7,1.00,+2.8,86,clear
1780229977.101,hiker,ridge_route,-80.39,-65.62,0.35,930.0,-6.9120837,107.5852252,4.0,1.00,+2.9,134,clear
1780229977.601,hiker,ridge_route,-80.10,-65.31,0.35,930.0,-6.9120311,107.5853293,4.5,1.00,+2.9,162,clear
1780229978.102,hiker,ridge_route,-79.81,-65.00,0.35,930.0,-6.9119249,107.5853939,1.5,1.00,+2.9,112,clear
1780229978.602,hiker,ridge_route,-79.52,-64.69,0.35,930.0,-6.9118223,107.5855063,3.3,1.00,+3.0,149,clear
1780229979.102,hiker,ridge_route,-79.23,-64.38,0.35,930.0,-6.9117307,107.5855693,1.2,1.00,+3.0,96,clear
1780229979.602,hiker,ridge_route,-78.94,-64.06,0.35,930.0,-6.9116625,107.5856673,4.5,1.00,+3.0,106,clear
1780229980.101,hiker,ridge_route,-78.65,-63.76,0.35,930.0,-6.9115254,107.5857583,0.6,1.00,+3.1,134,clear
1780229980.602,hiker,ridge_route,-78.35,-63.44,0.35,930.0,-6.9114007,107.5858620,3.5,1.00,+3.1,192,clear
1780229981.101,hiker,ridge_route,-78.06,-63.14,0.35,930.0,-6.9113181,107.5859224,2.1,1.00,+3.1,194,clear
1780229981.601,hiker,ridge_route,-77.77,-62.83,0.35,930.0,-6.9112390,107.5860363,1.0,1.00,+3.1,174,clear
1780229982.101,hiker,ridge_route,-77.48,-62.52,0.35,930.0,-6.9111175,107.5861467,3.4,1.00,+3.2,146,clear
1780229982.601,hiker,ridge_route,-77.19,-62.21,0.35,930.0,-6.9110655,107.5862229,3.3,1.00,+3.2,101,clear
1780229983.101,hiker,ridge_route,-76.89,-61.91,0.35,930.0,-6.9109720,107.5863215,3.5,1.00,+3.2,102,clear
1780229983.601,hiker,ridge_route,-76.57,-61.63,0.35,930.0,-6.9108767,107.5863875,3.4,1.00,+3.3,141,clear
1780229984.102,hiker,ridge_route,-76.25,-61.35,0.35,930.0,-6.9107855,107.5865155,2.0,1.00,+3.3,119,clear
1780229984.601,hiker,ridge_route,-75.93,-61.07,0.35,930.0,-6.9106677,107.5865914,2.7,1.00,+3.3,72,clear
1780229985.102,hiker,ridge_route,-75.61,-60.79,0.35,930.0,-6.9106008,107.5867108,1.1,1.00,+3.4,104,clear
1780229985.601,hiker,ridge_route,-75.29,-60.51,0.35,930.0,-6.9105027,107.5868306,1.7,1.00,+3.4,106,clear
1780229986.101,hiker,ridge_route,-74.97,-60.23,0.35,930.0,-6.9104036,107.5869459,3.5,1.00,+3.4,156,clear
1780229986.601,hiker,ridge_route,-74.65,-59.95,0.35,930.0,-6.9103631,107.5870095,4.0,1.00,+3.5,95,clear
1780229987.101,hiker,ridge_route,-74.33,-59.67,0.35,930.0,-6.9102235,107.5871161,1.8,1.00,+3.5,161,clear
1780229987.601,hiker,ridge_route,-74.01,-59.39,0.35,930.0,-6.9101605,107.5872361,2.0,1.00,+3.5,135,clear
